lineage	p050	p075	p090	p095	p100
L_erasa_OR_Lost_Prairie_5201	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie
L_erasa_OR_Marys_Peak_2575	coalescentpop004	coalescentpop005	coalescentpop006	coalescentpop007	coalescentpop009
L_erasa_OR_Marys_Peak_2586	coalescentpop004	coalescentpop005	coalescentpop006	coalescentpop007	coalescentpop009
L_erasa_OR_Marys_Peak_2615	coalescentpop004	coalescentpop005	coalescentpop006	coalescentpop007	coalescentpop009
L_erasa_OR_Marys_Peak_2616	coalescentpop004	coalescentpop005	coalescentpop006	coalescentpop007	coalescentpop009
L_erasa_OR_Mount_Hebo_3013	L_erasa_OR_Mount_Hebo	coalescentpop005	coalescentpop006	coalescentpop007	coalescentpop009
L_erasa_OR_Mount_Hebo_3016	L_erasa_OR_Mount_Hebo	coalescentpop005	coalescentpop006	coalescentpop007	coalescentpop009
L_erasa_OR_Mt_Hood_4144	L_erasa_OR_Mt_Hood	L_erasa_OR_Mt_Hood	L_erasa_OR_Mt_Hood	L_erasa_OR_Mt_Hood	coalescentpop010
L_erasa_OR_Prairie_Peak_2580	coalescentpop004	coalescentpop005	coalescentpop006	coalescentpop007	coalescentpop009
L_kavanaughi_MT_Bitterroot_River_4646	L_kavanaughi_MT_Bitterroot_River	coalescentpop006	coalescentpop007	coalescentpop008	coalescentpop011
L_kavanaughi_MT_Lost_Horse_Creek_4648	L_kavanaughi_MT_Lost_Horse_Creek	coalescentpop006	coalescentpop007	coalescentpop008	coalescentpop011
L_kavanaughi_OR_Little_Philips_Creek_4998	coalescentpop005	coalescentpop007	coalescentpop008	coalescentpop009	coalescentpop012
L_kavanaughi_OR_Lostine_River_4996	coalescentpop005	coalescentpop007	coalescentpop008	coalescentpop009	coalescentpop012
L_kavanaughi_OR_Lostine_River_Valley_4990	coalescentpop005	coalescentpop007	coalescentpop008	coalescentpop009	coalescentpop012
L_kavanaughi_OR_Lostine_River_Valley_4992	coalescentpop005	coalescentpop007	coalescentpop008	coalescentpop009	coalescentpop012
L_kavanaughi_OR_Lostine_River_Valley_4993	coalescentpop005	coalescentpop007	coalescentpop008	coalescentpop009	coalescentpop012
L_kavanaughi_OR_Lostine_River_Valley_5000	coalescentpop005	coalescentpop007	coalescentpop008	coalescentpop009	coalescentpop012
L_kavanaughi_OR_Lostine_River_Valley_5002	coalescentpop005	coalescentpop007	coalescentpop008	coalescentpop009	coalescentpop012
L_kavanaughi_OR_Lostine_River_Valley_5006	coalescentpop005	coalescentpop007	coalescentpop008	coalescentpop009	coalescentpop012
L_kavanaughi_OR_Lostine_River_Valley_5008	coalescentpop005	coalescentpop007	coalescentpop008	coalescentpop009	coalescentpop012
L_kavanaughi_OR_Lostine_River_Valley_5010	coalescentpop005	coalescentpop007	coalescentpop008	coalescentpop009	coalescentpop012
L_lindrothi_CA_Deadman_Creek_4140	L_lindrothi_CA_Deadman_Creek	coalescentpop008	coalescentpop009	coalescentpop010	coalescentpop013
L_lindrothi_CA_East_Fork_Kaweah_River_4120	L_lindrothi_CA_East_Fork_Kaweah_River	coalescentpop009	coalescentpop010	coalescentpop011	coalescentpop014
L_lindrothi_CA_Emerald_Lake_4116	L_lindrothi_CA_Emerald_Lake	L_lindrothi_CA_Emerald_Lake	L_lindrothi_CA_Emerald_Lake	L_lindrothi_CA_Emerald_Lake	coalescentpop014
L_lindrothi_CA_Emerald_Lake_4117	L_lindrothi_CA_Emerald_Lake	L_lindrothi_CA_Emerald_Lake	L_lindrothi_CA_Emerald_Lake	L_lindrothi_CA_Emerald_Lake	coalescentpop014
L_lindrothi_CA_Emerald_Lake_4118	L_lindrothi_CA_Emerald_Lake	L_lindrothi_CA_Emerald_Lake	L_lindrothi_CA_Emerald_Lake	L_lindrothi_CA_Emerald_Lake	coalescentpop014
L_lindrothi_CA_Kaiser_Pass_4121	L_lindrothi_CA_Kaiser_Pass	coalescentpop008	coalescentpop009	coalescentpop010	coalescentpop013
L_lindrothi_CA_Long_Valley_Creek_5072	L_lindrothi_CA_Long_Valley_Creek	L_lindrothi_CA_Long_Valley_Creek	L_lindrothi_CA_Long_Valley_Creek	L_lindrothi_CA_Long_Valley_Creek	coalescentpop013
L_lindrothi_CA_Sonora_Pass_4134	L_lindrothi_CA_Sonora_Pass	coalescentpop009	coalescentpop010	coalescentpop011	coalescentpop014
L_lindrothi_CA_South_Fork_Bishop_Creek_3568	L_lindrothi_CA_South_Fork_Bishop_Creek	L_lindrothi_CA_South_Fork_Bishop_Creek	L_lindrothi_CA_South_Fork_Bishop_Creek	L_lindrothi_CA_South_Fork_Bishop_Creek	L_lindrothi_CA_South_Fork_Bishop_Creek
L_lindrothi_CA_Tioga_Lake_4132	L_lindrothi_CA_Tioga_Lake	L_lindrothi_CA_Tioga_Lake	L_lindrothi_CA_Tioga_Lake	L_lindrothi_CA_Tioga_Lake	L_lindrothi_CA_Tioga_Lake
L_osculans_CA_Carson_Spur_3164	L_osculans_CA_Carson_Spur	L_osculans_CA_Carson_Spur	coalescentpop013	coalescentpop014	coalescentpop017
L_osculans_CA_Cold_Creek_1387	L_osculans_CA_Cold_Creek	L_osculans_CA_Cold_Creek	L_osculans_CA_Cold_Creek	L_osculans_CA_Cold_Creek	coalescentpop016
L_osculans_CA_Cold_Creek_1390	L_osculans_CA_Cold_Creek	L_osculans_CA_Cold_Creek	L_osculans_CA_Cold_Creek	L_osculans_CA_Cold_Creek	coalescentpop016
L_osculans_CA_Los_Padres_NF_3162	L_osculans_CA_Los_Padres_NF	coalescentpop011	coalescentpop012	coalescentpop013	coalescentpop015
L_osculans_CA_Nanny_Creek_3721	coalescentpop006	coalescentpop012	coalescentpop013	coalescentpop014	coalescentpop017
