Gen	np	tree	tau_4L_tuulukwa_CA_Trinity_AlpsL_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	tau_5L_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	lnL
1390	2	11	0.000458	0.000291	-10846.139
1400	2	11	0.000482	0.000237	-10840.547
1410	2	11	0.000632	0.000249	-10843.061
1420	2	11	0.000364	0.000303	-10848.796
1430	2	11	0.000325	0.000304	-10844.825
1440	2	11	0.000389	0.000241	-10848.679
1450	2	11	0.000435	0.000068	-10842.323
1460	2	11	0.000393	0.000199	-10842.423
1470	2	11	0.000442	0.000143	-10843.105
1480	2	11	0.000462	0.000166	-10845.802
1490	2	11	0.000547	0.000342	-10848.823
1500	2	11	0.000514	0.000237	-10844.683
1510	2	11	0.000602	0.000249	-10840.649
1520	2	11	0.000538	0.000190	-10838.170
1530	2	11	0.000608	0.000199	-10840.286
1540	2	11	0.001024	0.000579	-10842.212
1550	2	11	0.001144	0.000488	-10841.137
1560	2	11	0.000725	0.000348	-10841.869
1570	2	11	0.000834	0.000259	-10840.334
1580	2	11	0.000833	0.000347	-10842.367
1590	2	11	0.000658	0.000423	-10845.428
1600	2	11	0.000916	0.000283	-10841.807
1610	2	11	0.000756	0.000167	-10837.953
1620	2	11	0.000648	0.000315	-10850.250
1630	2	11	0.000502	0.000348	-10847.493
1640	2	11	0.000501	0.000244	-10849.288
1650	2	11	0.000473	0.000207	-10843.619
1660	2	11	0.000650	0.000196	-10842.477
1670	2	11	0.000674	0.000225	-10844.759
1680	2	11	0.000997	0.000212	-10841.469
1690	2	11	0.000948	0.000377	-10840.553
1700	2	11	0.000889	0.000316	-10844.353
1710	2	11	0.001257	0.000319	-10850.204
1720	2	11	0.000845	0.000162	-10847.366
1730	2	11	0.000558	0.000274	-10844.451
1740	2	11	0.000730	0.000233	-10850.685
1750	2	11	0.000627	0.000190	-10847.946
1760	2	11	0.000670	0.000238	-10845.339
1770	2	11	0.000562	0.000374	-10852.346
1780	2	11	0.000553	0.000427	-10847.634
1790	2	11	0.000438	0.000200	-10843.713
1800	2	11	0.000544	0.000204	-10844.574
1810	2	11	0.000511	0.000108	-10836.239
1820	2	11	0.000509	0.000107	-10847.926
1830	2	11	0.000373	0.000102	-10841.371
1840	2	11	0.000532	0.000199	-10849.009
1850	2	11	0.000325	0.000117	-10844.259
1860	2	11	0.000432	0.000234	-10843.780
1870	2	11	0.000472	0.000256	-10839.019
1880	2	11	0.000479	0.000246	-10842.135
1890	2	11	0.000483	0.000308	-10842.985
1900	2	11	0.000665	0.000342	-10848.221
1910	2	11	0.000522	0.000309	-10846.705
1920	2	11	0.000599	0.000288	-10844.837
1930	2	11	0.000424	0.000155	-10838.004
1940	2	11	0.000668	0.000191	-10839.761
1950	2	11	0.000748	0.000192	-10837.844
1960	2	11	0.000814	0.000252	-10845.681
1970	2	11	0.000744	0.000216	-10846.832
1980	2	11	0.000756	0.000275	-10841.977
1990	2	11	0.001001	0.000243	-10846.734
2000	2	11	0.001102	0.000184	-10842.118
2010	2	11	0.000792	0.000194	-10844.523
2020	2	11	0.000575	0.000192	-10844.529
2030	2	11	0.000803	0.000227	-10844.256
2040	2	11	0.000590	0.000200	-10843.492
2050	2	11	0.000664	0.000242	-10841.417
2060	2	11	0.000838	0.000089	-10841.198
2070	2	11	0.000584	0.000125	-10846.282
2080	2	11	0.000664	0.000105	-10841.771
2090	2	11	0.000433	0.000101	-10850.871
2100	2	11	0.000505	0.000209	-10849.152
