Gen	np	tree	tau_4L_tuulukwa_CA_Trinity_AlpsL_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	tau_5L_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	lnL
5870	2	11	0.000386	0.000182	-10846.988
5880	2	11	0.000397	0.000192	-10847.801
5890	2	11	0.000403	0.000202	-10847.942
5900	2	11	0.000433	0.000232	-10845.459
5910	2	11	0.000397	0.000304	-10848.332
5920	2	11	0.000356	0.000166	-10836.638
5930	2	11	0.000440	0.000204	-10841.747
5940	2	11	0.000360	0.000216	-10842.341
5950	2	11	0.000436	0.000262	-10840.235
5960	2	11	0.000482	0.000262	-10843.476
5970	2	11	0.000523	0.000389	-10842.432
5980	2	11	0.000557	0.000162	-10839.582
5990	2	11	0.000720	0.000287	-10842.746
6000	2	11	0.000726	0.000426	-10844.391
6010	2	11	0.000899	0.000275	-10840.489
6020	2	11	0.000718	0.000303	-10840.655
6030	2	11	0.000816	0.000282	-10849.053
6040	2	11	0.000928	0.000315	-10838.929
6050	2	11	0.000981	0.000308	-10840.511
6060	2	11	0.000977	0.000468	-10843.133
6070	2	11	0.000683	0.000357	-10848.734
6080	2	11	0.000636	0.000203	-10849.121
6090	2	11	0.000860	0.000315	-10843.954
6100	2	11	0.000775	0.000304	-10848.067
6110	2	11	0.000578	0.000103	-10843.042
6120	2	11	0.000672	0.000236	-10855.993
6130	2	11	0.000703	0.000151	-10845.616
6140	2	11	0.000897	0.000136	-10850.302
6150	2	11	0.000629	0.000214	-10851.482
6160	2	11	0.000719	0.000148	-10841.143
6170	2	11	0.000747	0.000314	-10844.208
6180	2	11	0.000880	0.000455	-10845.213
6190	2	11	0.000642	0.000328	-10843.527
6200	2	11	0.000802	0.000301	-10854.682
6210	2	11	0.000729	0.000317	-10844.730
6220	2	11	0.000526	0.000175	-10842.287
6230	2	11	0.000687	0.000178	-10842.709
6240	2	11	0.000600	0.000162	-10840.027
6250	2	11	0.000587	0.000295	-10847.371
6260	2	11	0.000595	0.000263	-10840.832
6270	2	11	0.000511	0.000291	-10840.923
6280	2	11	0.000725	0.000508	-10841.886
6290	2	11	0.000623	0.000326	-10845.565
6300	2	11	0.000531	0.000307	-10844.608
6310	2	11	0.000608	0.000260	-10848.987
6320	2	11	0.000574	0.000287	-10839.647
6330	2	11	0.000765	0.000646	-10844.657
6340	2	11	0.000550	0.000309	-10843.937
6350	2	11	0.000552	0.000297	-10836.722
6360	2	11	0.000675	0.000269	-10848.821
6370	2	11	0.000670	0.000269	-10852.472
6380	2	11	0.000609	0.000255	-10844.096
6390	2	11	0.000625	0.000366	-10848.434
6400	2	11	0.000630	0.000266	-10838.898
6410	2	11	0.000546	0.000305	-10842.062
6420	2	11	0.000604	0.000239	-10844.515
6430	2	11	0.000557	0.000303	-10844.793
6440	2	11	0.000508	0.000181	-10848.949
6450	2	11	0.000644	0.000287	-10841.447
6460	2	11	0.000739	0.000316	-10841.718
6470	2	11	0.000739	0.000510	-10841.342
6480	2	11	0.000930	0.000639	-10849.195
6490	2	11	0.000677	0.000598	-10844.692
6500	2	11	0.000563	0.000348	-10838.238
6510	2	11	0.000554	0.000334	-10843.400
6520	2	11	0.000555	0.000363	-10840.451
6530	2	11	0.000570	0.000247	-10848.603
6540	2	11	0.000638	0.000391	-10848.360
6550	2	11	0.000606	0.000459	-10844.332
6560	2	11	0.000407	0.000310	-10845.141
6570	2	11	0.000462	0.000295	-10844.576
6580	2	11	0.000368	0.000173	-10845.389
6590	2	11	0.000573	0.000331	-10840.549
6600	2	11	0.000375	0.000272	-10838.587
6610	2	11	0.000407	0.000325	-10838.314
6620	2	11	0.000413	0.000322	-10841.295
6630	2	11	0.000564	0.000435	-10849.584
6640	2	11	0.000499	0.000288	-10845.948
6650	2	11	0.000437	0.000270	-10839.971
6660	2	11	0.000542	0.000208	-10839.176
6670	2	11	0.000646	0.000334	-10842.747
6680	2	11	0.000505	0.000291	-10838.932
6690	2	11	0.000613	0.000292	-10840.565
6700	2	11	0.000579	0.000392	-10843.195
6710	2	11	0.000611	0.000341	-10843.732
6720	2	11	0.000910	0.000273	-10841.494
6730	2	11	0.000799	0.000219	-10844.161
6740	2	11	0.000672	0.000349	-10843.521
6750	2	11	0.000679	0.000320	-10846.258
6760	2	11	0.000611	0.000165	-10838.500
6770	2	11	0.000673	0.000163	-10840.103
6780	2	11	0.000607	0.000164	-10844.272
6790	2	11	0.000631	0.000220	-10857.331
6800	2	11	0.000541	0.000313	-10842.948
6810	2	11	0.000501	0.000402	-10839.792
6820	2	11	0.000741	0.000553	-10848.921
6830	2	11	0.000627	0.000420	-10845.583
6840	2	11	0.000665	0.000331	-10844.919
6850	2	11	0.000641	0.000418	-10842.052
6860	2	11	0.000519	0.000221	-10839.129
6870	2	11	0.000541	0.000158	-10854.939
6880	2	11	0.000487	0.000182	-10841.610
6890	2	11	0.000504	0.000215	-10838.995
6900	2	11	0.000564	0.000280	-10843.364
6910	2	11	0.000462	0.000229	-10845.753
6920	2	11	0.000443	0.000105	-10841.077
6930	2	11	0.000494	0.000114	-10857.258
6940	2	11	0.000468	0.000086	-10844.248
6950	2	11	0.000664	0.000143	-10843.854
6960	2	11	0.000613	0.000171	-10844.389
6970	2	11	0.000543	0.000081	-10841.229
6980	2	11	0.000425	0.000074	-10844.502
6990	2	11	0.000589	0.000104	-10841.420
7000	2	11	0.000632	0.000155	-10845.054
7010	2	11	0.000544	0.000189	-10845.262
7020	2	11	0.000581	0.000268	-10846.857
7030	2	11	0.000525	0.000130	-10837.038
7040	2	11	0.000491	0.000124	-10839.440
7050	2	11	0.000478	0.000127	-10844.372
7060	2	11	0.000555	0.000256	-10843.085
7070	2	11	0.000645	0.000263	-10842.539
7080	2	11	0.000645	0.000300	-10846.088
7090	2	11	0.000575	0.000292	-10844.907
7100	2	11	0.000666	0.000394	-10841.757
7110	2	11	0.000664	0.000441	-10851.501
7120	2	11	0.000460	0.000217	-10842.198
7130	2	11	0.000460	0.000155	-10840.876
7140	2	11	0.000475	0.000281	-10840.853
7150	2	11	0.000517	0.000257	-10842.481
7160	2	11	0.000640	0.000255	-10846.896
7170	2	11	0.000751	0.000355	-10846.007
7180	2	11	0.000622	0.000284	-10843.958
7190	2	11	0.000599	0.000438	-10841.709
7200	2	11	0.000519	0.000230	-10836.604
7210	2	11	0.000770	0.000335	-10839.487
7220	2	11	0.000724	0.000528	-10845.312
7230	2	11	0.000645	0.000291	-10842.758
7240	2	11	0.000548	0.000191	-10843.880
7250	2	11	0.000653	0.000316	-10844.196
7260	2	11	0.000539	0.000266	-10844.900
7270	2	11	0.000490	0.000207	-10846.390
7280	2	11	0.000499	0.000166	-10843.489
7290	2	11	0.000495	0.000174	-10840.604
7300	2	11	0.000576	0.000234	-10841.575
7310	2	11	0.000676	0.000309	-10844.355
7320	2	11	0.000789	0.000314	-10843.345
7330	2	11	0.000570	0.000249	-10838.146
7340	2	11	0.000636	0.000340	-10843.773
7350	2	11	0.000899	0.000285	-10844.061
7360	2	11	0.000653	0.000277	-10841.398
7370	2	11	0.000728	0.000466	-10838.942
7380	2	11	0.000474	0.000447	-10851.619
7390	2	11	0.000698	0.000509	-10846.955
7400	2	11	0.000599	0.000392	-10845.320
7410	2	11	0.000639	0.000355	-10843.422
7420	2	11	0.000448	0.000252	-10843.294
7430	2	11	0.000557	0.000299	-10846.320
7440	2	11	0.000430	0.000207	-10836.007
7450	2	11	0.000524	0.000264	-10839.689
7460	2	11	0.000559	0.000256	-10847.221
7470	2	11	0.000568	0.000185	-10842.829
7480	2	11	0.000646	0.000233	-10846.250
7490	2	11	0.000677	0.000274	-10842.661
7500	2	11	0.000589	0.000189	-10844.052
7510	2	11	0.000589	0.000081	-10841.980
7520	2	11	0.000485	0.000169	-10836.952
7530	2	11	0.000427	0.000146	-10838.919
7540	2	11	0.000463	0.000220	-10848.158
7550	2	11	0.000452	0.000274	-10839.757
7560	2	11	0.000507	0.000299	-10841.290
7570	2	11	0.000462	0.000283	-10843.762
7580	2	11	0.000608	0.000474	-10842.101
7590	2	11	0.000618	0.000560	-10845.529
7600	2	11	0.000535	0.000366	-10846.263
7610	2	11	0.000515	0.000297	-10840.787
7620	2	11	0.000667	0.000324	-10839.783
7630	2	11	0.000599	0.000307	-10843.779
7640	2	11	0.000483	0.000195	-10842.803
7650	2	11	0.000509	0.000210	-10846.461
7660	2	11	0.000443	0.000250	-10847.082
7670	2	11	0.000596	0.000158	-10839.468
7680	2	11	0.000534	0.000228	-10848.713
7690	2	11	0.000645	0.000385	-10843.770
7700	2	11	0.000764	0.000460	-10842.688
7710	2	11	0.000694	0.000398	-10839.251
7720	2	11	0.000840	0.000322	-10845.069
7730	2	11	0.000552	0.000286	-10844.089
7740	2	11	0.000835	0.000152	-10839.462
7750	2	11	0.000555	0.000254	-10842.580
7760	2	11	0.000528	0.000135	-10851.328
7770	2	11	0.000656	0.000187	-10841.714
7780	2	11	0.000622	0.000189	-10844.429
7790	2	11	0.000503	0.000160	-10837.062
7800	2	11	0.000563	0.000173	-10840.003
7810	2	11	0.000674	0.000159	-10838.299
7820	2	11	0.000890	0.000354	-10847.966
7830	2	11	0.000926	0.000125	-10839.408
7840	2	11	0.000630	0.000278	-10850.385
7850	2	11	0.000652	0.000153	-10844.029
7860	2	11	0.000758	0.000121	-10844.229
7870	2	11	0.000726	0.000206	-10850.117
7880	2	11	0.000716	0.000226	-10849.561
7890	2	11	0.000616	0.000098	-10841.861
7900	2	11	0.000749	0.000069	-10841.209
7910	2	11	0.000820	0.000148	-10838.049
7920	2	11	0.000661	0.000066	-10851.141
7930	2	11	0.000546	0.000075	-10845.563
7940	2	11	0.000636	0.000147	-10843.420
7950	2	11	0.000581	0.000071	-10847.779
7960	2	11	0.000668	0.000155	-10841.922
7970	2	11	0.000694	0.000095	-10841.942
7980	2	11	0.000476	0.000121	-10854.728
7990	2	11	0.000857	0.000130	-10838.696
8000	2	11	0.000622	0.000129	-10846.844
8010	2	11	0.000612	0.000203	-10850.711
8020	2	11	0.000612	0.000199	-10847.007
8030	2	11	0.000676	0.000259	-10845.970
8040	2	11	0.000541	0.000149	-10844.639
8050	2	11	0.000438	0.000190	-10850.772
8060	2	11	0.000514	0.000202	-10853.945
8070	2	11	0.000499	0.000286	-10841.459
8080	2	11	0.000446	0.000211	-10847.275
8090	2	11	0.000533	0.000158	-10843.305
8100	2	11	0.000675	0.000299	-10845.399
8110	2	11	0.000589	0.000324	-10847.490
8120	2	11	0.000775	0.000307	-10845.681
8130	2	11	0.000717	0.000121	-10848.780
8140	2	11	0.000525	0.000409	-10846.254
8150	2	11	0.000500	0.000253	-10848.837
8160	2	11	0.000411	0.000167	-10833.489
8170	2	11	0.000531	0.000215	-10840.914
8180	2	11	0.000429	0.000152	-10845.391
8190	2	11	0.000678	0.000454	-10845.132
8200	2	11	0.000697	0.000268	-10839.556
8210	2	11	0.000694	0.000404	-10845.577
8220	2	11	0.000407	0.000173	-10839.656
8230	2	11	0.000690	0.000215	-10842.931
8240	2	11	0.000424	0.000231	-10846.667
8250	2	11	0.000739	0.000345	-10851.939
8260	2	11	0.000615	0.000299	-10850.773
8270	2	11	0.000748	0.000230	-10844.702
8280	2	11	0.000831	0.000232	-10842.987
8290	2	11	0.000603	0.000177	-10835.910
8300	2	11	0.000735	0.000463	-10852.386
8310	2	11	0.000525	0.000312	-10851.099
8320	2	11	0.000742	0.000512	-10851.883
8330	2	11	0.000633	0.000432	-10840.656
8340	2	11	0.000393	0.000286	-10847.967
8350	2	11	0.000504	0.000359	-10839.230
8360	2	11	0.000452	0.000412	-10847.397
8370	2	11	0.000506	0.000341	-10842.378
8380	2	11	0.000395	0.000313	-10841.791
8390	2	11	0.000634	0.000367	-10844.852
8400	2	11	0.000600	0.000222	-10854.382
8410	2	11	0.000659	0.000338	-10854.797
8420	2	11	0.000524	0.000378	-10848.721
8430	2	11	0.000439	0.000133	-10840.214
8440	2	11	0.000440	0.000141	-10837.267
8450	2	11	0.000352	0.000197	-10844.931
8460	2	11	0.000360	0.000187	-10840.502
8470	2	11	0.000321	0.000178	-10838.864
8480	2	11	0.000301	0.000201	-10845.196
8490	2	11	0.000241	0.000137	-10839.217
8500	2	11	0.000292	0.000115	-10836.105
8510	2	11	0.000353	0.000128	-10845.605
8520	2	11	0.000346	0.000169	-10838.592
8530	2	11	0.000353	0.000172	-10841.688
8540	2	11	0.000367	0.000246	-10848.246
8550	2	11	0.000361	0.000214	-10842.092
8560	2	11	0.000326	0.000129	-10836.758
8570	2	11	0.000392	0.000121	-10841.190
8580	2	11	0.000393	0.000110	-10841.420
8590	2	11	0.000470	0.000090	-10853.439
8600	2	11	0.000538	0.000086	-10840.271
8610	2	11	0.000351	0.000119	-10840.948
8620	2	11	0.000333	0.000147	-10838.530
8630	2	11	0.000426	0.000188	-10844.081
8640	2	11	0.000490	0.000216	-10838.867
8650	2	11	0.000375	0.000179	-10838.507
8660	2	11	0.000452	0.000215	-10847.022
8670	2	11	0.000436	0.000238	-10838.392
8680	2	11	0.000477	0.000260	-10841.941
8690	2	11	0.000298	0.000162	-10840.677
8700	2	11	0.000457	0.000358	-10836.527
8710	2	11	0.000496	0.000282	-10840.229
8720	2	11	0.000576	0.000237	-10845.386
8730	2	11	0.000636	0.000262	-10839.137
8740	2	11	0.000621	0.000333	-10845.554
8750	2	11	0.000608	0.000209	-10837.808
8760	2	11	0.000674	0.000318	-10845.303
8770	2	11	0.000798	0.000223	-10848.381
8780	2	11	0.000487	0.000234	-10850.350
8790	2	11	0.000631	0.000258	-10852.099
8800	2	11	0.000790	0.000147	-10839.595
8810	2	11	0.000600	0.000170	-10846.767
8820	2	11	0.001045	0.000132	-10836.584
8830	2	11	0.000539	0.000154	-10845.648
8840	2	11	0.000461	0.000163	-10846.705
8850	2	11	0.000534	0.000163	-10842.439
8860	2	11	0.000560	0.000171	-10849.753
8870	2	11	0.000630	0.000196	-10842.353
8880	2	11	0.000633	0.000199	-10842.994
8890	2	11	0.000680	0.000189	-10848.464
8900	2	11	0.000883	0.000456	-10848.125
8910	2	11	0.000780	0.000316	-10845.584
8920	2	11	0.000845	0.000324	-10842.671
8930	2	11	0.001141	0.000240	-10842.530
8940	2	11	0.001030	0.000316	-10846.005
8950	2	11	0.001025	0.000340	-10848.047
8960	2	11	0.000837	0.000247	-10839.391
8970	2	11	0.001108	0.000337	-10844.389
8980	2	11	0.001035	0.000380	-10844.974
8990	2	11	0.000976	0.000317	-10848.130
9000	2	11	0.001110	0.000429	-10850.448
9010	2	11	0.000999	0.000243	-10836.839
9020	2	11	0.000831	0.000420	-10844.930
9030	2	11	0.000861	0.000137	-10839.785
9040	2	11	0.000929	0.000349	-10846.736
9050	2	11	0.000912	0.000584	-10844.320
9060	2	11	0.000811	0.000467	-10843.636
9070	2	11	0.000700	0.000348	-10840.709
9080	2	11	0.000638	0.000309	-10844.799
9090	2	11	0.000577	0.000206	-10848.040
9100	2	11	0.000581	0.000230	-10847.880
9110	2	11	0.000498	0.000189	-10843.050
9120	2	11	0.000587	0.000232	-10841.247
9130	2	11	0.000711	0.000213	-10845.899
9140	2	11	0.000657	0.000273	-10841.365
9150	2	11	0.000865	0.000224	-10838.604
9160	2	11	0.000943	0.000214	-10847.785
9170	2	11	0.000728	0.000184	-10848.543
9180	2	11	0.000873	0.000141	-10848.164
9190	2	11	0.001299	0.000306	-10854.122
9200	2	11	0.000891	0.000271	-10861.186
9210	2	11	0.000934	0.000271	-10853.452
9220	2	11	0.000830	0.000154	-10842.348
9230	2	11	0.000719	0.000131	-10843.152
9240	2	11	0.000626	0.000121	-10838.928
9250	2	11	0.000657	0.000235	-10857.872
9260	2	11	0.000528	0.000188	-10839.676
9270	2	11	0.000676	0.000265	-10845.446
9280	2	11	0.000475	0.000218	-10844.108
9290	2	11	0.000576	0.000223	-10833.066
9300	2	11	0.000395	0.000166	-10833.737
9310	2	11	0.000512	0.000122	-10842.784
9320	2	11	0.000461	0.000158	-10839.922
9330	2	11	0.000383	0.000164	-10843.005
9340	2	11	0.000416	0.000192	-10842.219
9350	2	11	0.000486	0.000245	-10844.599
9360	2	11	0.000385	0.000194	-10840.689
9370	2	11	0.000356	0.000180	-10842.956
9380	2	11	0.000395	0.000181	-10842.905
9390	2	11	0.000365	0.000201	-10842.241
9400	2	11	0.000400	0.000152	-10842.574
9410	2	11	0.000597	0.000190	-10845.047
9420	2	11	0.000544	0.000188	-10840.155
9430	2	11	0.000402	0.000190	-10843.828
9440	2	11	0.000581	0.000236	-10847.476
9450	2	11	0.000406	0.000272	-10848.811
9460	2	11	0.000432	0.000199	-10840.180
9470	2	11	0.000369	0.000258	-10852.089
9480	2	11	0.000273	0.000176	-10840.492
9490	2	11	0.000411	0.000165	-10844.553
9500	2	11	0.000385	0.000154	-10843.513
9510	2	11	0.000385	0.000154	-10838.289
9520	2	11	0.000371	0.000116	-10848.712
9530	2	11	0.000547	0.000081	-10841.462
9540	2	11	0.000586	0.000135	-10847.649
9550	2	11	0.000580	0.000290	-10846.952
9560	2	11	0.000575	0.000256	-10841.097
9570	2	11	0.000631	0.000301	-10848.245
9580	2	11	0.000663	0.000181	-10847.112
9590	2	11	0.000682	0.000251	-10839.036
9600	2	11	0.000560	0.000172	-10840.783
9610	2	11	0.000453	0.000130	-10845.559
9620	2	11	0.000524	0.000297	-10840.782
9630	2	11	0.000541	0.000415	-10841.957
9640	2	11	0.000723	0.000365	-10853.026
9650	2	11	0.000741	0.000225	-10837.797
9660	2	11	0.000514	0.000174	-10846.444
9670	2	11	0.000626	0.000358	-10842.803
9680	2	11	0.000592	0.000411	-10844.695
9690	2	11	0.000839	0.000580	-10843.961
9700	2	11	0.000554	0.000386	-10849.839
9710	2	11	0.000543	0.000173	-10842.053
9720	2	11	0.000511	0.000146	-10837.127
9730	2	11	0.000551	0.000170	-10843.475
9740	2	11	0.000586	0.000147	-10842.495
9750	2	11	0.000450	0.000111	-10842.210
9760	2	11	0.000366	0.000134	-10841.236
9770	2	11	0.000490	0.000190	-10842.983
9780	2	11	0.000594	0.000145	-10849.605
9790	2	11	0.000648	0.000161	-10841.568
9800	2	11	0.000616	0.000163	-10851.059
9810	2	11	0.000692	0.000114	-10838.441
9820	2	11	0.000609	0.000133	-10840.495
9830	2	11	0.000489	0.000286	-10843.327
9840	2	11	0.000464	0.000271	-10840.392
9850	2	11	0.000580	0.000224	-10839.723
9860	2	11	0.000589	0.000239	-10838.906
9870	2	11	0.000652	0.000395	-10848.897
9880	2	11	0.000584	0.000258	-10845.032
9890	2	11	0.000540	0.000239	-10842.154
9900	2	11	0.000601	0.000354	-10836.145
9910	2	11	0.000768	0.000296	-10841.153
9920	2	11	0.000636	0.000206	-10845.380
9930	2	11	0.000766	0.000229	-10844.206
9940	2	11	0.000945	0.000419	-10849.584
9950	2	11	0.000749	0.000335	-10851.572
9960	2	11	0.000844	0.000209	-10842.730
9970	2	11	0.000989	0.000451	-10850.492
9980	2	11	0.001277	0.000430	-10844.137
9990	2	11	0.001115	0.000333	-10842.712
10000	2	11	0.000713	0.000356	-10848.281
